id,marque_observee,marque_canonique,alias_marque,fabricant,gamme_observee,gamme_canonique,classe_fonctionnelle,reference,nom,quantite,confiance,statut,avertissements,source_photo,source_hashes,couleur_hex,famille_couleur,fini,medium,volume_ml,tags,usages_conseilles,fiche_fabricant,image_fabricant,source_image,credit_image,verifie_le,notes,cle_dedoublonnage
the-army-painter-speedpaint-blood-red,ARMY PAINTER,The Army Painter,Army Painter,The Army Painter,SPEED PAINT,Speedpaint,one_coat_contrast,WP2010P,Blood Red,1,0.98,confirme,,imports/photos/IMG_5311.jpeg,641b8a6d2d343f183064b457ec5812024a79e804e1cceb00f2012a13fac9f775,#A42E31,Rouge sang,transparent contrasté,acrylique à l’eau,18,rouge|sang|Speedpaint|une couche,Uniformes rouges|Peaux et tissus|Zones organiques,https://thearmypainter.com/products/speedpaint-speedpaint-blood-red-wp2010p,/manufacturer/army-painter-blood-red-wp2010p.jpg,https://thearmypainter.com/cdn/shop/files/WP2010P_0.jpg?v=1750957887&width=3000,Packshot officiel The Army Painter · copie locale,2026-08-30,Appliquer généreusement en une couche sur une sous-couche claire ; palette dure recommandée.,the-army-painter|speedpaint|ref:WP2010P
the-army-painter-speedpaint-crusader-skin,ARMY PAINTER,The Army Painter,Army Painter,The Army Painter,SPEED PAINT,Speedpaint,one_coat_contrast,WP2004P,Crusader Skin,1,0.98,confirme,,imports/photos/IMG_5311.jpeg,641b8a6d2d343f183064b457ec5812024a79e804e1cceb00f2012a13fac9f775,#C1846C,Chair rougeâtre pâle,transparent contrasté,acrylique à l’eau,18,chair|peau|Speedpaint|une couche,Carnations claires|Visages et mains|Cuir rose-brun,https://thearmypainter.com/products/speedpaint-speedpaint-crusader-skin-wp2004p,/manufacturer/army-painter-crusader-skin-wp2004p.jpg,https://thearmypainter.com/cdn/shop/files/WP2004P_0.jpg?v=1750957887&width=3000,Packshot officiel The Army Painter · copie locale,2026-08-30,Appliquer généreusement en une couche sur une sous-couche claire ; palette dure recommandée.,the-army-painter|speedpaint|ref:WP2004P
the-army-painter-speedpaint-fire-giant-orange,ARMY PAINTER,The Army Painter,Army Painter,The Army Painter,SPEED PAINT,Speedpaint,one_coat_contrast,WP2017P,Fire Giant Orange,1,0.98,confirme,,imports/photos/IMG_5311.jpeg,641b8a6d2d343f183064b457ec5812024a79e804e1cceb00f2012a13fac9f775,#D1662D,Orange brûlé,transparent contrasté,acrylique à l’eau,18,orange|feu|Speedpaint|une couche,Flammes et lueurs|Cuir roux|Tissus orange,https://thearmypainter.com/products/speedpaint-speedpaint-fire-giant-orange-wp2017p,/manufacturer/army-painter-fire-giant-orange-wp2017p.jpg,https://thearmypainter.com/cdn/shop/files/WP2017P_0.jpg?v=1750957887&width=3000,Packshot officiel The Army Painter · copie locale,2026-08-30,Appliquer généreusement en une couche sur une sous-couche claire ; palette dure recommandée.,the-army-painter|speedpaint|ref:WP2017P
the-army-painter-speedpaint-highlord-blue,ARMY PAINTER,The Army Painter,Army Painter,The Army Painter,SPEED PAINT,Speedpaint,one_coat_contrast,WP2015P,Highlord Blue,1,0.98,confirme,,imports/photos/IMG_5311.jpeg,641b8a6d2d343f183064b457ec5812024a79e804e1cceb00f2012a13fac9f775,#335991,Bleu soutenu,transparent contrasté,acrylique à l’eau,18,bleu|uniforme|Speedpaint|une couche,Uniformes bleus|Armures|Énergie et tissus,https://thearmypainter.com/products/speedpaint-speedpaint-highlord-blue-wp2015p,/manufacturer/army-painter-highlord-blue-wp2015p.jpg,https://thearmypainter.com/cdn/shop/files/WP2015P_0.jpg?v=1750957887&width=3000,Packshot officiel The Army Painter · copie locale,2026-08-30,Appliquer généreusement en une couche sur une sous-couche claire ; palette dure recommandée.,the-army-painter|speedpaint|ref:WP2015P
the-army-painter-speedpaint-hive-dweller-purple,ARMY PAINTER,The Army Painter,Army Painter,The Army Painter,SPEED PAINT,Speedpaint,one_coat_contrast,WP2018P,Hive Dweller Purple,1,0.98,confirme,,imports/photos/IMG_5311.jpeg,641b8a6d2d343f183064b457ec5812024a79e804e1cceb00f2012a13fac9f775,#533B65,Violet très sombre,transparent contrasté,acrylique à l’eau,18,violet|sombre|Speedpaint|une couche,Peaux extraterrestres|Tissus violets|Ombres surnaturelles,https://thearmypainter.com/products/speedpaint-speedpaint-hive-dweller-purple-wp2018p,/manufacturer/army-painter-hive-dweller-purple-wp2018p.jpg,https://thearmypainter.com/cdn/shop/files/WP2018P_0.jpg?v=1750957887&width=3000,Packshot officiel The Army Painter · copie locale,2026-08-30,Appliquer généreusement en une couche sur une sous-couche claire ; palette dure recommandée.,the-army-painter|speedpaint|ref:WP2018P
the-army-painter-speedpaint-orc-skin,ARMY PAINTER,The Army Painter,Army Painter,The Army Painter,SPEED PAINT,Speedpaint,one_coat_contrast,WP2009P,Orc Skin,1,0.98,confirme,,imports/photos/IMG_5311.jpeg,641b8a6d2d343f183064b457ec5812024a79e804e1cceb00f2012a13fac9f775,#4E7C43,Vert peau,transparent contrasté,acrylique à l’eau,18,vert|peau|Speedpaint|une couche,Peaux d’orcs et de créatures|Tissus verts|Végétation sombre,https://thearmypainter.com/products/speedpaint-speedpaint-orc-skin-wp2009p,/manufacturer/army-painter-orc-skin-wp2009p.jpg,https://thearmypainter.com/cdn/shop/files/WP2009P_0.jpg?v=1750957887&width=3000,Packshot officiel The Army Painter · copie locale,2026-08-30,Appliquer généreusement en une couche sur une sous-couche claire ; palette dure recommandée.,the-army-painter|speedpaint|ref:WP2009P
the-army-painter-speedpaint-pallid-bone,ARMY PAINTER,The Army Painter,Army Painter,The Army Painter,SPEED PAINT,Speedpaint,one_coat_contrast,WP2006P,Pallid Bone,1,0.98,confirme,,imports/photos/IMG_5311.jpeg,641b8a6d2d343f183064b457ec5812024a79e804e1cceb00f2012a13fac9f775,#C4B486,Os pâle,transparent contrasté,acrylique à l’eau,18,os|beige|Speedpaint|une couche,Os et squelettes|Parchemins|Toiles et tissus beiges,https://thearmypainter.com/products/speedpaint-speedpaint-pallid-bone-wp2006p,/manufacturer/army-painter-pallid-bone-wp2006p.jpg,https://thearmypainter.com/cdn/shop/files/WP2006P_0.jpg?v=1750957887&width=3000,Packshot officiel The Army Painter · copie locale,2026-08-30,Appliquer généreusement en une couche sur une sous-couche claire ; palette dure recommandée.,the-army-painter|speedpaint|ref:WP2006P
the-army-painter-speedpaint-zealot-yellow,ARMY PAINTER,The Army Painter,Army Painter,The Army Painter,SPEED PAINT,Speedpaint,one_coat_contrast,WP2013P,Zealot Yellow,1,0.98,confirme,,imports/photos/IMG_5311.jpeg,641b8a6d2d343f183064b457ec5812024a79e804e1cceb00f2012a13fac9f775,#D4B12F,Jaune chaud,transparent contrasté,acrylique à l’eau,18,jaune|signalétique|Speedpaint|une couche,Marquages jaunes|Tissus|Lumières chaudes,https://thearmypainter.com/products/speedpaint-speedpaint-zealot-yellow-wp2013p,/manufacturer/army-painter-zealot-yellow-wp2013p.jpg,https://thearmypainter.com/cdn/shop/files/WP2013P_0.jpg?v=1750957887&width=3000,Packshot officiel The Army Painter · copie locale,2026-08-30,Appliquer généreusement en une couche sur une sous-couche claire ; palette dure recommandée.,the-army-painter|speedpaint|ref:WP2013P
vallejo-game-color-metallic-chainmail,VALLEJO,Vallejo,Acrylicos Vallejo,Acrylicos Vallejo,GAME COLOR METALLIC,Game Color Metallic,metallic,72.053,Chainmail,1,0.99,confirme,,imports/photos/IMG_5311.jpeg,641b8a6d2d343f183064b457ec5812024a79e804e1cceb00f2012a13fac9f775,#818A90,Acier moyen,métallique,acrylique à l’eau,18,acier|métal|armure|Vallejo,Cottes de mailles|Armes|Armures et machines,https://acrylicosvallejo.com/en/producto/hobby/sets/basic-en/metallic-colors-72303/,/manufacturer/vallejo-chainmail-72053.jpg,https://www.vallejo-farben.de/media/image/product/61556/md/chainmail-18-ml-game-metallic.jpg,Packshot Acrylicos Vallejo · copie locale · source de distribution : Vallejo-Farben.de,2026-08-30,Couleur d’interface indicative. Référence et contenance confirmées dans la documentation Vallejo.,vallejo|game-color-metallic|ref:72.053
vallejo-game-color-metallic-silver,VALLEJO,Vallejo,Acrylicos Vallejo,Acrylicos Vallejo,GAME COLOR METALLIC,Game Color Metallic,metallic,72.052,Silver,1,0.99,confirme,,imports/photos/IMG_5311.jpeg,641b8a6d2d343f183064b457ec5812024a79e804e1cceb00f2012a13fac9f775,#B9BEC1,Argent clair,métallique,acrylique à l’eau,18,argent|métal|éclaircissement|Vallejo,Arêtes métalliques|Armes et armures claires|Éclats et usure,https://acrylicosvallejo.com/en/producto/hobby/sets/basic-en/metallic-colors-72303/,/manufacturer/vallejo-silver-72052.jpg,https://www.vallejo-farben.de/media/image/product/61452/md/silver-18-ml-game-metallic.jpg,Packshot Acrylicos Vallejo · copie locale · source de distribution : Vallejo-Farben.de,2026-08-30,Couleur d’interface indicative. Référence et contenance confirmées dans la documentation Vallejo.,vallejo|game-color-metallic|ref:72.052
